SVI Theme: Minority Status & Language; Overall Minority Status & Language (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Minority Status & Language-2018-Percentile
34027,Morris County,New Jersey,6.3,0.8281
38007,Billings County,North Dakota,6.3,0.1009
38069,Pierce County,North Dakota,6.3,0.0977
45013,Beaufort County,South Carolina,6.3,0.8128
46055,Haakon County,South Dakota,6.3,0.0716
49005,Cache County,Utah,6.3,0.6511
51013,Arlington County,Virginia,6.3,0.8809
55073,Marathon County,Wisconsin,6.3,0.539
55127,Walworth County,Wisconsin,6.3,0.653
06017,El Dorado County,California,6.4,0.6937
09001,Fairfield County,Connecticut,6.4,0.9077
19049,Dallas County,Iowa,6.4,0.6036
19101,Jefferson County,Iowa,6.4,0.7434
19141,O&#39;brien County,Iowa,6.4,0.3375
20183,Smith County,Kansas,6.4,0.0729
21097,Harrison County,Kentucky,6.4,0.1102
26009,Antrim County,Michigan,6.4,0.2283
27075,Lake County,Minnesota,6.4,0.2881
30075,Powder River County,Montana,6.4,0.0853
31165,Sioux County,Nebraska,6.4,0.1178
34035,Somerset County,New Jersey,6.4,0.8914
38023,Divide County,North Dakota,6.4,0.1146
38045,Lamoure County,North Dakota,6.4,0.298
49055,Wayne County,Utah,6.4,0.5938
50007,Chittenden County,Vermont,6.4,0.54
55055,Jefferson County,Wisconsin,6.4,0.4731
55093,Pierce County,Wisconsin,6.4,0.3747
55141,Wood County,Wisconsin,6.4,0.3457
05015,Carroll County,Arkansas,6.5,0.7813
08047,Gilpin County,Colorado,6.5,0.2763
08113,San Miguel County,Colorado,6.5,0.5657
09007,Middlesex County,Connecticut,6.5,0.5842
12115,Sarasota County,Florida,6.5,0.6788
17057,Fulton County,Illinois,6.5,0.4085
19035,Cherokee County,Iowa,6.5,0.2311
19071,Fremont County,Iowa,6.5,0.0675
19093,Ida County,Iowa,6.5,0.0201
19151,Pocahontas County,Iowa,6.5,0.3948
21039,Carlisle County,Kentucky,6.5,0.1385
25019,Nantucket County,Massachusetts,6.5,0.5928
26093,Livingston County,Michigan,6.5,0.1665
27047,Freeborn County,Minnesota,6.5,0.6431
29039,Cedar County,Missouri,6.5,0.0417
29141,Morgan County,Missouri,6.5,0.1697
30011,Carter County,Montana,6.5,0.0083
30055,Mccone County,Montana,6.5,0.3578
31063,Frontier County,Nebraska,6.5,0.0341
31075,Grant County,Nebraska,6.5,0.0118
36079,Putnam County,New York,6.5,0.7507
36109,Tompkins County,New York,6.5,0.5969
37125,Moore County,North Carolina,6.5,0.673
46021,Campbell County,South Dakota,6.5,0.0019
46051,Grant County,South Dakota,6.5,0.2194
46091,Marshall County,South Dakota,6.5,0.6269
47091,Johnson County,Tennessee,6.5,0.1706
51610,Falls Church City,Virginia,6.5,0.6581
55017,Chippewa County,Wisconsin,6.5,0.2649
55075,Marinette County,Wisconsin,6.5,0.0933
55135,Waupaca County,Wisconsin,6.5,0.2954
56029,Park County,Wyoming,6.5,0.3553
02230,Skagway Municipality,Alaska,6.6,0.3919
